,product name,image url 1,image url 2,price,category
0,Aquatic Serenity,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtb18111darkblue_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtb18111darkblue_2_.jpg,"PKR1,200", 
1,Basic tights,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/t/b/tbbfred_1_tbbf000-red__1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/t/b/tbbfred_2_tbbf000-red__1.jpg,PKR750,Basic tights
2,Basic tights,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/t/b/tbbfbeg_1_tbbf000-beige_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/t/b/tbbfbeg_2_tbbf000-beige_.jpg,PKR750,Basic tights
3,Basic Tights,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/t/b/tbbfpnk_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/t/b/tbbfpnk_2_.jpg,PKR750,Hot pink basic tights
4,LCN19206,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcn19206.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcn19206-_2_.jpg,"PKR7,900",Net Jacquard Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mShalwar 2.5mNet Jacquard Patti 2PcKundan Buttons 5Pc
5,LCN19204,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcn19204.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcn19204-_2_.jpg,"PKR7,900",Net Jacquard Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mShalwar 2.5mNet Jacquard Patti 2PcKundan Buttons 5Pc
6,LCN19201,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcn19201.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcn19201-_2_.jpg,"PKR7,900",Net Jacquard Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mShalwar 2.5mNet Jacquard Patti 2PcKundan Buttons 5Pc
7,LCP19220,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19220.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19220.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5m
8,LCP19219,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19219.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19219.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5m
9,LCP19218,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19218.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19218.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5m
10,LCP19217,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19217.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19217.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5mEmbroidered Organza Patti
11,LCP19214,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19214.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19214.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5mEmbroidered Organza Gala
12,LCP19212,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19212.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19212.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5m
13,LCP19210,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19210.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19210.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5mEmbroidered Organza Patt
14,LCP19209,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19209.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19209.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5mEmbroidered Organza Gala
15,LCP19208,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19208.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19208.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mDigital Printed Tissue Silk Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5m
16,LCP19207,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19207.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19207.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5m
17,LCP19206,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19206.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/c/lcp-19206.jpg,"PKR12,000",Embroidered Chiffon Shirt 3.0mPrinted Chiffon Dupatta 2.5mDyed Inner Fabric 2.5mShalwar 2.5mEmbroidered Organza Patt
