,product name,image url,product category,price
0,JJMS-SUPERIOR-1454/JJ6186,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/4/1454_sky_blue.jpg,Men Unstitched Fabric,"PKR3,490.00"
1,JJMS-SUPERIOR-1454/JJ6186,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/4/1454_light_green.jpg,Men Unstitched Fabric,"PKR3,490.00"
2,JJMS-SUPERIOR-1454/JJ6186,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/4/1454_light_grey.jpg,Men Unstitched Fabric,"PKR3,490.00"
3,JJFW-JPC-11172/S19-AL-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11172_2_.jpg,Men Peshawari Chappal,"PKR1,990.00"
4,JJFW-JPC-11247/S19-ZU-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjfw-jpc-11247_2_.jpg,Men Peshawari Chappal,"PKR2,290.00"
5,JJFW-JPC-11240/S19-SA-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11240_2_.jpg,Men Peshawari Chappal,"PKR2,490.00"
6,Beard Oil Set (Exclusive),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/b/e/beard_oil-1_3_.jpg,"Fougere, Fresh","PKR2,300.00"
7,Beard Oil Set (Janan),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/b/e/beard_oil-1_3__1.jpg,"Fresh, Woody","PKR2,300.00"
8,Beard Oil Set (Oriental),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/b/e/beard_oil-1_3__1_1.jpg,Oriental,"PKR2,300.00"
9,JJFW-JPC-102/S18/JJ5928,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-102_1_.jpg,Men Peshawari Chappal,"PKR1,890.00"
10,JJFW-JPC-11008-R1/S18-HTK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-11008-r1_2_.jpg,Men Peshawari Chappal,"PKR1,890.00"
11,JJFW-JPC-11202/S18-HTK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-11202_1_.jpg,Men Peshawari Chappal,"PKR1,890.00"
12,JJFW-JPC-095/S18/JJ5945,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-095_3_.jpg,Men Peshawari Chappal,"PKR1,890.00"
13,JJKS-S-36447/S19/JJ6240,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/6/36447_2_.jpg,Casual Kameez Shalwar,"PKR4,890.00"
14,JJKS-S-36444/S19/JJ5899,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-s-36444_1_.jpg,Casual Kameez Shalwar,"PKR5,990.00"
