,product name,image url,product category,price
0,Red Hit-ex Cool JA Shirt RCG-02,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/r/c/rcg-02_2_.jpg,MEN-FABRIC-RS-19-194027,"PKR 1,024"
1,Multi Casual Shirt CM-YD-2452  CS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2452-cs-_3_.jpg,M-AP-18-178372 -P,"PKR 1,617"
2,Multi Check Casual Shirt CM-YD-2468  CS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2468_cs_back.jpg,M-AP-18-178767 -P,"PKR 1,497"
3,Light Beige MEGA SUPER O/S,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/0/100817.jpg,Men-Fabric-100817,"PKR 1,355"
4,Dark Cream KARANDI (SILK)-MMU,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/7/176396.jpg,Men-Fabric-176396,"PKR 2,744"
5,Black Opus (Mocado)-GS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/7/173968.jpg,Men-Fabric-173968,"PKR 1,827"
6,Skin VISION (ARZOO)-G,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/5/n/5n1a7656.jpg,Men-Fabric-199928,"PKR 1,607"
7,Mehndi Exclusive Wovn(FD#08,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_0674.jpg,Men-Fabric-191852,"PKR 2,489"
8,Multi Causal Shirt Stripe CM-YD-2682,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2682_4_.jpg,M-AP-19-192795 -P,"PKR 1,617"
9,Denim Blue Causal Shirt Stripe CM-YD-2680,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2680_4_.jpg,M-AP-19-192785 -P,"PKR 1,617"
10,Black & White Casual Shirt Checked CM-YD-2664,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2664_4_.jpg,M-AP-19-191656 -P,"PKR 1,797"
11,Multi Red Casual Shirt Checked CM-YD-2663,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2663_3_.jpg,M-AP-19-191651 -P,"PKR 1,797"
12,Indigo Causal Shirt Satin CM-YD-2659,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2659_3_.jpg,M-AP-19-191631 -P,"PKR 1,797"
13,Blue & White Casual Shirt Checked CM-YD-2651,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2651_3_.jpg,M-AP-19-191591 -P,"PKR 1,797"
14,Navy Grey Checked Causal Shirt Yarn Dyed CM-YD-2638 CS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2638_cs_3__1.jpg,M-AP-19-190333 -P,"PKR 1,497"
