,product name,image url,product category
0,JJMS-SUPERIOR-1454/JJ6186,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/4/1454_light_green.jpg,Men Unstitched Fabric
1,JJFW-JPC-11172/S19-AL-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11172_2_.jpg,Men Peshawari Chappal
2,JJFW-JPC-11247/S19-ZU-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjfw-jpc-11247_2_.jpg,Men Peshawari Chappal
3,JJFW-JPC-11240/S19-SA-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11240_2_.jpg,Men Peshawari Chappal
4,Beard Oil Set (Exclusive),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/b/e/beard_oil-1_3_.jpg,"Fougere, Fresh"
5,Beard Oil Set (Janan),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/b/e/beard_oil-1_3__1.jpg,"Fresh, Woody"
6,Beard Oil Set (Oriental),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/b/e/beard_oil-1_3__1_1.jpg,Oriental
7,JJFW-JPC-102/S18/JJ5928,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-102_1_.jpg,Men Peshawari Chappal
8,JJFW-JPC-11008-R1/S18-HTK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-11008-r1_2_.jpg,Men Peshawari Chappal
9,JJFW-JPC-11202/S18-HTK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-11202_1_.jpg,Men Peshawari Chappal
10,JJFW-JPC-11214/S19-AK-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-11214_1_.jpg,Men Peshawari Chappal
11,JJFW-JPC-095/S18/JJ5945,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-095_3_.jpg,Men Peshawari Chappal
12,JJMK-CLASSY-1390/JJ6299 (Deep Red),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjmk-classy-1390_-_deep_red.jpg,Men Unstitched Fabric
13,JJMK-CLASSY-1375/JMS12185,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjmk-classy-1375-peach.jpg,Men Unstitched Fabric
14,JJKS-S-36449/S19/JJ6304,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-s-36449_1_.jpg,Volume 1 2019
15,JJKS-S-36444/S19/JJ5899,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-s-36444_1_.jpg,Casual Kameez Shalwar
16,JJKS-S-35467/S19/JJ6163,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-s-35467_1_.jpg,Semi-Formal Kameez Shalwar
17,JJKS-S-35455/S19/JJ6304,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-s-35455_3_.jpg,Volume 1 2019
18,JJKS-S-32257/S19/JJ6244,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/2/32257_2_.jpg,Volume 1 2019
19,JJKS-S-32231/S19/JJ6229,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-s-32231_2_.jpg,Formal Kameez Shalwar
20,JJKS-S-30687/S19/JJ6166,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/0/30687_2_.jpg,Volume 1 2019
21,JJKS-S-30611/S19/JJ5882,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/0/30611_1_.jpg,Formal Kameez Shalwar
22,JJKS-A-37324/S19/JJ6290,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-a-37324_1_.jpg,Volume 1 2019
23,JJKS-A-36427/S19/JJ6259,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-a-36427_1_.jpg,Volume 1 2019
24,JJKS-A-36414/S19/JJ6170,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/6/36414_2_.jpg,Casual Kameez Shalwar
25,JJKS-A-30755/S19/JJ6289,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjks-a-30755_1_.jpg,Volume 1 2019
26,JJK-S-37304/S19/JJ6231,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjk-s-37304_1_.jpg,Men Kurta
27,JJK-S-36452/S19/JJ6198,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjk-s-36452_1_.jpg,Men Kurta
28,JJK-S-36440/S19/JJ6272,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/6/36440_3_.jpg,Casual Kurta
29,JJK-S-32249/S19/JJ6274,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/2/32249_1_.jpg,Men Kurta
